Program,Version,Program build date,Command line,Start time,Stop time,Elapsed time (seconds),Status
"GridSurfaceCreate",2.04,"Aug  6 2018 10:55:02"," E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/4_MDT/Canas_clip_000001_ground.mdt 0.05 m m 1 30 2 3 E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/3_Ground/Canas_clip_000001_ground.las","Mon Feb 18 11:16:55 2019","Mon Feb 18 11:16:59 2019",4,Success
"DTM2ASCII",1.41,"Aug  6 2018 10:54:46"," /raster E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/4_MDT/Canas_clip_000001_ground.mdt","Mon Feb 18 11:16:59 2019","Mon Feb 18 11:17:01 2019",2,Success
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/6_Normalized_Clouds_Clipped/Canas_clip_000001_Normalized_Clipped_000000.las  E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/7_CloudMetrics/Canas_clip_000001.csv ","Mon Feb 18 11:17:01 2019","Mon Feb 18 11:17:01 2019",0,Success
"GridSurfaceCreate",2.04,"Aug  6 2018 10:55:02"," E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/4_MDT/Canas_clip_000002_ground.mdt 0.05 m m 1 30 2 3 E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/3_Ground/Canas_clip_000002_ground.las","Mon Feb 18 11:17:01 2019","Mon Feb 18 11:17:04 2019",3,Success
"DTM2ASCII",1.41,"Aug  6 2018 10:54:46"," /raster E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/4_MDT/Canas_clip_000002_ground.mdt","Mon Feb 18 11:17:04 2019","Mon Feb 18 11:17:07 2019",3,Success
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/6_Normalized_Clouds_Clipped/Canas_clip_000002_Normalized_Clipped_000000.las  E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/7_CloudMetrics/Canas_clip_000002.csv ","Mon Feb 18 11:17:07 2019","Mon Feb 18 11:17:07 2019",0,Success
"GridSurfaceCreate",2.04,"Aug  6 2018 10:55:02"," E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/4_MDT/Canas_clip_000003_ground.mdt 0.05 m m 1 30 2 3 E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/3_Ground/Canas_clip_000003_ground.las","Mon Feb 18 11:17:07 2019","Mon Feb 18 11:17:10 2019",3,Success
"DTM2ASCII",1.41,"Aug  6 2018 10:54:46"," /raster E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/4_MDT/Canas_clip_000003_ground.mdt","Mon Feb 18 11:17:10 2019","Mon Feb 18 11:17:12 2019",2,Success
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/6_Normalized_Clouds_Clipped/Canas_clip_000003_Normalized_Clipped_000000.las  E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/7_CloudMetrics/Canas_clip_000003.csv ","Mon Feb 18 11:17:13 2019","Mon Feb 18 11:17:13 2019",0,Success
"GridSurfaceCreate",2.04,"Aug  6 2018 10:55:02"," E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/4_MDT/Canas_clip_000004_ground.mdt 0.05 m m 1 30 2 3 E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/3_Ground/Canas_clip_000004_ground.las","Mon Feb 18 11:17:13 2019","Mon Feb 18 11:17:16 2019",3,Success
"DTM2ASCII",1.41,"Aug  6 2018 10:54:46"," /raster E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/4_MDT/Canas_clip_000004_ground.mdt","Mon Feb 18 11:17:16 2019","Mon Feb 18 11:17:18 2019",2,Success
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/6_Normalized_Clouds_Clipped/Canas_clip_000004_Normalized_Clipped_000000.las  E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/7_CloudMetrics/Canas_clip_000004.csv ","Mon Feb 18 11:17:18 2019","Mon Feb 18 11:17:18 2019",0,Success
"GridSurfaceCreate",2.04,"Aug  6 2018 10:55:02"," E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/4_MDT/Canas_clip_000005_ground.mdt 0.05 m m 1 30 2 3 E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/3_Ground/Canas_clip_000005_ground.las","Mon Feb 18 11:17:19 2019","Mon Feb 18 11:17:22 2019",3,Success
"DTM2ASCII",1.41,"Aug  6 2018 10:54:46"," /raster E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/4_MDT/Canas_clip_000005_ground.mdt","Mon Feb 18 11:17:22 2019","Mon Feb 18 11:17:24 2019",2,Success
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/6_Normalized_Clouds_Clipped/Canas_clip_000005_Normalized_Clipped_000000.las  E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/7_CloudMetrics/Canas_clip_000005.csv ","Mon Feb 18 11:17:24 2019","Mon Feb 18 11:17:24 2019",0,Success
"GridSurfaceCreate",2.04,"Aug  6 2018 10:55:02"," E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/4_MDT/Canas_clip_000006_ground.mdt 0.05 m m 1 30 2 3 E:/Palancia/_Canas/PRUEBA_DATOS_PNOA/3_Ground/Canas_clip_000006_ground.las","Mon Feb 18 11:17:24 2019","Mon Feb 18 11:17:27 2019",3,Success
